title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped
Appartement à vendre 199 m² à Boulevard Zerktouni,3800000,"Appartements dans Casablanca, Maarif",199,3,3,https://www.avito.ma/fr/maarif/appartements/Appartement_%C3%A0_vendre_199_m%C2%B2_%C3%A0_Boulevard_Zerktouni_57706141.htm,"Casablanca, Maarif",casablanca,maarif,3280000
Appartement à vendre 124 m² à Casablanca,1750000,"Appartements dans Casablanca, Abdelmoumen",136,3,2,https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_124_m%C2%B2_%C3%A0_Casablanca_57724207.htm,"Casablanca, Abdelmoumen",casablanca,abdelmoumen,1750000
Appartement à vendre 140 m² la marina Casablanca,3900000,"Appartements dans Casablanca, Marina",155,2,3,https://www.avito.ma/fr/marina/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_la_marina_Casablanca_56471980.htm,"Casablanca, Marina",casablanca,marina,3280000
Appartement à vendre 105 m² El Andalous,370000,"Appartements dans Oujda, Andalous",105,2,2,https://www.avito.ma/fr/andalous/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_El_Andalous_57755402.htm,"Oujda, Andalous",oujda,andalous,370000
Appartement à vendre à Temara,1200000,"Appartements dans Rabat, Autre secteur",107,3,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_%C3%A0_Temara_57812272.htm,"Rabat, Autre secteur",rabat,autre secteur,1200000
Appartement à vendre 110 m² à Casablanca,1700000,"Appartements dans Casablanca, 2 Mars",110,3,2,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Casablanca_57775489.htm,"Casablanca, 2 Mars",casablanca,2 mars,1700000
Superbe Appart à vendre à Ain Diab Extension,4000000,"Appartements dans Casablanca, Aïn Diab",189,3,2,https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Superbe_Appart_%C3%A0_vendre_%C3%A0_Ain_Diab_Extension_57770131.htm,"Casablanca, Aïn Diab",casablanca,aïn diab,3280000
Appartement à vendre 100 m² à Tétouan,1245000,"Appartements dans Tétouan, Autre secteur",110,3,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_T%C3%A9touan_57616531.htm,"Tétouan, Autre secteur",tétouan,autre secteur,1245000
Appartement à vendre 130 m² à plage des nations,1850000,"Appartements dans Sidi Bouknadel, Toute la ville",130,2,2,https://www.avito.ma/fr/sidi_bouknadel/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_plage_des_nations_56055121.htm,"Sidi Bouknadel, Toute la ville",sidi bouknadel,toute la ville,1850000
Appartement à vendre pas de semsar,600000,"Appartements dans Mohammedia, Nassim",70,2,1,https://www.avito.ma/fr/nassim/appartements/Appartement_%C3%A0_vendre_pas_de_semsar_57773761.htm,"Mohammedia, Nassim",mohammedia,nassim,600000
Spacieux appartement à vendre meublé,1350000,"Appartements dans Marrakech, Victor Hugo",54,1,1,https://www.avito.ma/fr/victor_hugo/appartements/Spacieux_appartement_%C3%A0_vendre_meubl%C3%A9_57711710.htm,"Marrakech, Victor Hugo",marrakech,victor hugo,1350000
Appartement à vendre 147 m² à Bd Fouaratte Casa.,1200000,"Appartements dans Casablanca, Hay Mohammadi",147,4,3,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_147_m%C2%B2_%C3%A0_Bd_Fouaratte_Casa__56185859.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,1200000
Appart 3ch 2sa blc 150m2 à vendre 2Mars,2200000,"Appartements dans Casablanca, 2 Mars",150,3,2,https://www.avito.ma/fr/2_mars/appartements/Appart_3ch_2sa_blc_150m2_%C3%A0_vendre_2Mars_56889308.htm,"Casablanca, 2 Mars",casablanca,2 mars,2200000
Appartement à Atlas golf Resort à Marrakech,2100000,"Appartements dans Marrakech, Annakhil",140,2,2,https://www.avito.ma/fr/annakhil/appartements/Appartement_%C3%A0_Atlas_golf_Resort_%C3%A0_Marrakech_57615030.htm,"Marrakech, Annakhil",marrakech,annakhil,2100000
